"geographic_region","labid.y","fieldid","POINT_X","POINT_Y","SpeciesIDL","SpeciesID_OSU","defecator","commonname","species","genus","family","order","class","phylum","speciessimpleidgroomed.y","idlevel","genusgroup","familygroup","ordergroup","generalgroup","taxasizegroup","best_match_pid.mean","total_reads","rep_reads","spec_reads","p_reads","replicates"
"CA","YOS0002","YOSE_JGL_02AUG19_004",300451.214,4190000.6205,"Martes caurina","Martes caurina","Martes caurina","","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","Odocoileus sp.","Genus","Deer","Deer and elk","Even-toed ungulates","Mammals","MammalsLarge",100,421,0,421,1,0
"CA","YOS0002","YOSE_JGL_02AUG19_004",300451.214,4190000.6205,"Martes caurina","Martes caurina","Martes caurina","","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","Odocoileus sp.","Genus","Deer","Deer and elk","Even-toed ungulates","Mammals","MammalsLarge",100,421,58,421,1,1
"CA","YOS0002","YOSE_JGL_02AUG19_004",300451.214,4190000.6205,"Martes caurina","Martes caurina","Martes caurina","","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","Odocoileus sp.","Genus","Deer","Deer and elk","Even-toed ungulates","Mammals","MammalsLarge",100,421,363,421,1,1
"CA","YOS0003","YOSE_JGL_02AUG19_006",301287.5268,4189309.5103,"Canis latrans","Canis latrans","Canis latrans","","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","Odocoileus sp.","Genus","Deer","Deer and elk","Even-toed ungulates","Mammals","MammalsLarge",98,24210,12404,18431,0.761296984717059,1
"CA","YOS0003","YOSE_JGL_02AUG19_006",301287.5268,4189309.5103,"Canis latrans","Canis latrans","Canis latrans","","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","Odocoileus sp.","Genus","Deer","Deer and elk","Even-toed ungulates","Mammals","MammalsLarge",99,24210,12404,18431,0.761296984717059,1
"CA","YOS0003","YOSE_JGL_02AUG19_006",301287.5268,4189309.5103,"Canis latrans","Canis latrans","Canis latrans","","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","Odocoileus sp.","Genus","Deer","Deer and elk","Even-toed ungulates","Mammals","MammalsLarge",99,24210,12404,18431,0.761296984717059,1
"CA","YOS0003","YOSE_JGL_02AUG19_006",301287.5268,4189309.5103,"Canis latrans","Canis latrans","Canis latrans","","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","Odocoileus sp.","Genus","Deer","Deer and elk","Even-toed ungulates","Mammals","MammalsLarge",100,24210,12404,18431,0.761296984717059,1
"CA","YOS0003","YOSE_JGL_02AUG19_006",301287.5268,4189309.5103,"Canis latrans","Canis latrans","Canis latrans","","Urocitellus beldingi","Urocitellus","Sciuridae","Rodentia","Mammalia","Chordata","Urocitellus beldingi","Species","Ground squirrels","Squirrels","Rodents","Mammals","MammalsSmall",100,24210,12404,3766,0.155555555555556,1
"CA","YOS0003","YOSE_JGL_02AUG19_006",301287.5268,4189309.5103,"Canis latrans","Canis latrans","Canis latrans","","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","Odocoileus sp.","Genus","Deer","Deer and elk","Even-toed ungulates","Mammals","MammalsLarge",100,24210,2604,18431,0.761296984717059,1
"CA","YOS0003","YOSE_JGL_02AUG19_006",301287.5268,4189309.5103,"Canis latrans","Canis latrans","Canis latrans","","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","Odocoileus sp.","Genus","Deer","Deer and elk","Even-toed ungulates","Mammals","MammalsLarge",99,24210,2604,18431,0.761296984717059,1
