"labid.y","speciesid_osu","speciessimpleidgroomed.y","species","genus","family","order","class","phylum","reps","numreads","totalreads","pidmatch","lineage","scatseason"
"YOS0002","Martes caurina","Odocoileus sp.","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata",2,421,421,100,"Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,","summer"
"YOS0003","Canis latrans","Odocoileus sp.","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata",12,96840,24210,99,"Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,","summer"
"YOS0003","Canis latrans","Urocitellus beldingi","Urocitellus beldingi","Urocitellus","Sciuridae","Rodentia","Mammalia","Chordata",3,24210,24210,100,"Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus beldingi","summer"
"YOS0004","Canis latrans","Martes caurina","Martes caurina","Martes","Mustelidae","Carnivora","Mammalia","Chordata",3,36266,36266,100,"Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes caurina","summer"
"YOS0004","Canis latrans","Microtus montanus","Microtus montanus","Microtus","Cricetidae","Rodentia","Mammalia","Chordata",3,36266,36266,98.99,"Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus montanus","summer"
"YOS0004","Canis latrans","Odocoileus sp.","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata",3,36266,36266,99,"Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,","summer"
"YOS0004","Canis latrans","Salvelinus sp.","","Salvelinus","Salmonidae","Salmoniformes","Actinopterygii","Chordata",3,36266,36266,100,"Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,","summer"
"YOS0006","Canis latrans","Erethizon dorsatum","Erethizon dorsatum","Erethizon","Erethizontidae","Rodentia","Mammalia","Chordata",3,1423,1423,100,"Chordata,Mammalia,Rodentia,Erethizontidae,Erethizon,Erethizon dorsatum","summer"
"YOS0007","Canis latrans","Gallus gallus","Gallus gallus","Gallus","Phaisianidae","Galliformes","Aves","Chordata",3,1795,1795,100,"Chordata,Aves,Galliformes,Phaisianidae,Gallus,Gallus gallus","summer"
"YOS0007","Canis latrans","Sus scrofa","Sus scrofa","Sus","Suidae","Artiodactyla","Mammalia","Chordata",3,1795,1795,100,"Chordata,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa","summer"
"YOS0008","Canis latrans","Neogale vison","Neogale vison","Neogale","Mustelidae","Carnivora","Mammalia","Chordata",3,87046,87046,100,"Chordata,Mammalia,Carnivora,Mustelidae,Neogale,Neogale vison","summer"
"YOS0010","Canis latrans","Anatidae","","","Anatidae","Anseriformes","Aves","Chordata",3,115493,115493,100,"Chordata,Aves,Anseriformes,Anatidae","summer"
"YOS0020","Puma concolor","Odocoileus sp.","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata",12,125704,31426,98.495,"Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,","summer"
"YOS0021","Martes caurina","Myadestes townsendi","Myadestes townsendi","Myadestes","Turdidae","Passeriformes","Aves","Chordata",3,7918,7918,100,"Chordata,Aves,Passeriformes,Turdidae,Myadestes,Myadestes townsendi","summer"
"YOS0022","Martes caurina","Oreortyx pictus","Oreortyx pictus","Oreortyx","Odontophoridae","Galliformes","Aves","Chordata",3,4099,4099,100,"Chordata,Aves,Galliformes,Odontophoridae,Oreortyx,Oreortyx pictus","summer"
"YOS0023","Martes caurina","Tamiasciurus douglasii","Tamiasciurus douglasii","Tamiasciurus","Sciuridae","Rodentia","Mammalia","Chordata",3,4884,4884,100,"Chordata,Mammalia,Rodentia,Sciuridae,Tamiasciurus,Tamiasciurus douglasii","summer"
"YOS0025","Martes caurina","Dendragapus fuliginosus","Dendragapus fuliginosus","Dendragapus","Phaisianidae","Galliformes","Aves","Chordata",3,58308,58308,100,"Chordata,Aves,Galliformes,Phaisianidae,Dendragapus,Dendragapus fuliginosus","summer"
"YOS0026","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",3,29152,29152,100,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0026","Canis latrans","Microtus montanus","Microtus montanus","Microtus","Cricetidae","Rodentia","Mammalia","Chordata",3,29152,29152,97.98,"Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus montanus","summer"
"YOS0026","Canis latrans","Odocoileus sp.","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata",3,29152,29152,99,"Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,","summer"
"YOS0028","Canis latrans","Gallus gallus","Gallus gallus","Gallus","Phaisianidae","Galliformes","Aves","Chordata",3,139683,139683,100,"Chordata,Aves,Galliformes,Phaisianidae,Gallus,Gallus gallus","summer"
"YOS0028","Canis latrans","Salvelinus sp.","","Salvelinus","Salmonidae","Salmoniformes","Actinopterygii","Chordata",3,139683,139683,100,"Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,","summer"
"YOS0029","Canis latrans","Urocitellus beldingi","Urocitellus beldingi","Urocitellus","Sciuridae","Rodentia","Mammalia","Chordata",9,93900,31300,99.3266666666667,"Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus beldingi","summer"
"YOS0030","Canis latrans","Lepus townsendii","Lepus townsendii","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata",3,8153,8153,100,"Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus townsendii","summer"
"YOS0030","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",3,8153,8153,100,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0031","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",2,1537,1537,100,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
