"PreyTaxa","POO","RRA","wPOO","Species","reads","species","genus","family","order","class","phylum","commonname","genusgroup","familygroup","ordergroup","generalgroup","averageweight","taxasizegroup"
"Aplodontia rufa",0.628930817610063,1.03092783505155,1.03092783505155,"Bobcat",4535,"Aplodontia rufa","Aplodontia","Aplodontiidae","Rodentia","Mammalia","Chordata","Mountain beaver","Mountain beaver","Mountain beaver","Rodents","Mammals",NA,"MammalsMedium"
"Callospermophilus lateralis",23.2704402515723,24.6907216494845,24.3127147766323,"Bobcat",1367091,"Callospermophilus lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Chordata","Golden-mantled ground squirrel","Ground squirrels","Squirrels","Rodents","Mammals",NA,"MammalsMedium"
"Canis latrans",0.628930817610063,0.515463917525773,0.343642611683849,"Bobcat",10826,"Canis latrans","Canis","Canidae","Carnivora","Mammalia","Chordata","","Canids","Canids","Carnivores","Mammals",NA,"MammalsLarge"
"Chordeiles acutipennis",0.628930817610063,0.515463917525773,0.515463917525773,"Bobcat",8053,"Chordeiles acutipennis","Chordeiles","Caprimulgidae","Caprimulgiformes","Aves","Chordata","Lesser Nighthawk","Nighthawks","Nightjars","Nightjars","Birds",NA,"BirdsMedium"
"Colaptes auratus",0.628930817610063,0.343642611683849,0.343642611683849,"Bobcat",10808,"Colaptes auratus","Colaptes","Picidae","Piciformes","Aves","Chordata","Northern flicker","Flickers","Woodpeckers","Woodpeckers","Birds",NA,"BirdsMedium"
"Cyanocitta stelleri",0.628930817610063,0.515463917525773,0.515463917525773,"Bobcat",52112,"Cyanocitta stelleri","Cyanocitta","Corvidae","Passeriformes","Aves","Chordata","Steller's jay","Jays","Corvids","Songbirds","Birds",NA,"BirdsSmall"
"Dendragapus fuliginosus",1.25786163522013,1.54639175257732,1.54639175257732,"Bobcat",140508,"Dendragapus fuliginosus","Dendragapus","Phaisianidae","Galliformes","Aves","Chordata","Sooty grouse","Grouse","Upland birds","Upland birds","Birds",NA,"BirdsMedium"
"Glaucomys sabrinus",1.25786163522013,1.54639175257732,1.54639175257732,"Bobcat",60007,"Glaucomys sabrinus","Glaucomys","Sciuridae","Rodentia","Mammalia","Chordata","Northern flying squirrel","Flying squirrels","Squirrels","Rodents","Mammals",NA,"MammalsSmall"
"Junco hyemalis",0.628930817610063,0.343642611683849,0.343642611683849,"Bobcat",79331,"Junco hyemalis","Junco","Passerellidae","Passeriformes","Aves","Chordata","Dark-eyed junco","Juncos","Sparrows","Songbirds","Birds",NA,"BirdsSmall"
"Lepus americanus",1.25786163522013,1.28865979381443,1.28865979381443,"Bobcat",11053,"Lepus americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata","Snowshoe hare","Hares","Hares and rabbits","Lagomorphs","Mammals",NA,"MammalsMedium"
