Defecator,Class,Order,Family,Genus,Species,CommonName,PreyGroup,FOO,wPOO
Bobcat,Aves,Anseriformes,Anatidae,Mergus,Mergus sp.,Merganser species,BirdsMedium,0.63,0.52
Bobcat,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,Chordeiles acutipennis,Lesser Nighthawk,BirdsMedium,0.63,0.52
Bobcat,Aves,Galliformes,Odontophoridae,Oreortyx,Oreortyx pictus,Mountain quail,BirdsMedium,1.89,1.37
Bobcat,Aves,Galliformes,Phaisianidae,Dendragapus,Dendragapus fuliginosus,Sooty grouse,BirdsMedium,1.26,1.55
Bobcat,Aves,Passeriformes,Corvidae,Cyanocitta,Cyanocitta stelleri,Steller's jay,BirdsSmall,0.63,0.52
Bobcat,Aves,Passeriformes,Passerellidae,Junco,Junco hyemalis,Dark-eyed junco,BirdsSmall,0.63,0.34
Bobcat,Aves,Passeriformes,Passerellidae,Pipilo,Pipilo maculatus,Spotted towhee,BirdsSmall,0.63,0.52
Bobcat,Aves,Passeriformes,Turdidae,Turdus,Turdus sp.,Thrush species,BirdsSmall,0.63,0.34
Bobcat,Aves,Piciformes,Picidae,Colaptes,Colaptes auratus,Northern flicker,BirdsMedium,0.63,0.34
Bobcat,Aves,Piciformes,Picidae,Leuconotopicus,Leuconotopicus albolarvatus,White-headed woodpecker,BirdsSmall,0.63,0.52
Bobcat,Mammalia,Artiodactyla,Cervidae,Odocoileus,Odocoileus hemionus,Mule deer,MammalsLarge,2.52,3.09
Bobcat,Mammalia,Carnivora,Canidae,Canis,Canis latrans,Coyote,MammalsLarge,0.63,0.34
Bobcat,Mammalia,Carnivora,Mustelidae,Neogale,Neogale frenata,Long-tailed weasel,MammalsMedium,0.63,0.52
Bobcat,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus americanus,Snowshoe hare,MammalsMedium,1.26,1.29
Bobcat,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus townsendii,White-tailed jackrabbit,MammalsMedium,0.63,0.52
Bobcat,Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona princeps,American pika,MammalsSmall,3.77,4.38
